Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Heimspiel:  Bambini 12 (4er) - TSV Altfraunhofen, 2026-07-11, 9:00 AM, 2026-07-11, 2:00 PM, false, , 
Auswärts:  DJK-SV Oberndorf - Herren 60 (4er), 2026-07-11, 1:00 PM, 2026-07-11, 6:00 PM, false, , 
Auswärts:  TSV Siegsdorf II - Damen 40, 2026-07-11, 2:00 PM, 2026-07-11, 7:00 PM, false, , 
Auswärts:  TC Rotthalmünster - Herren 30, 2026-07-11, 2:00 PM, 2026-07-11, 7:00 PM, false, , 
Heimspiel:  Herren 50 - TC Vilshofen, 2026-07-11, 2:00 PM, 2026-07-11, 7:00 PM, false, , 
Heimspiel:  Damen 50 (4er) - TC Rot-Weiß Landshut, 2026-07-11, 2:00 PM, 2026-07-11, 7:00 PM, false, , 
Auswärts:  FC Forstern - Herren, 2026-07-12, 9:00 AM, 2026-07-12, 2:00 PM, false, , 
Heimspiel:  Damen (4er) - FC Eberspoint, 2026-07-12, 9:00 AM, 2026-07-12, 2:00 PM, false, , 
Heimspiel:  Herren II - TC Anzing, 2026-07-12, 9:00 AM, 2026-07-12, 2:00 PM, false, , 
Heimspiel:  Dunlop Midcourt U10 (4er) - TC Isen, 2026-07-12, 3:00 PM, 2026-07-12, 8:00 PM, false, , 
Heimspiel:  Junioren 18 (4er) - SpVgg Zolling II, 2026-07-18, 9:00 AM, 2026-07-18, 2:00 PM, false, , 
Heimspiel:  Damen 40 - TSV Oberpframmern, 2026-07-18, 2:00 PM, 2026-07-18, 7:00 PM, false, , 
Heimspiel:  Herren - TuS Töging, 2026-07-19, 9:00 AM, 2026-07-19, 2:00 PM, false, , 
Auswärts:  TSV Obertaufkirchen - Damen (4er), 2026-07-19, 9:00 AM, 2026-07-19, 2:00 PM, false, , 
