Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Heimspiel:  Junioren 18 II (4er) - SpVgg Altenerding, 2024-06-15, 9:00 am, 2024-06-15, 2:00 pm, false, , 
Auswärts:  SpVgg Zolling - Juniorinnen 18 (4er), 2024-06-15, 9:00 am, 2024-06-15, 2:00 pm, false, , 
Auswärts:  Inn - Bambini 12 (4er), 2024-06-15, 9:00 am, 2024-06-15, 2:00 pm, false, , 
Heimspiel:  Damen 40 - TC Ramersdorf, 2024-06-15, 2:00 pm, 2024-06-15, 7:00 pm, false, , 
Heimspiel:  Damen 50 (4er) - TC Riemerling, 2024-06-15, 2:00 pm, 2024-06-15, 7:00 pm, false, , 
Heimspiel:  Herren - TC Harlaching München, 2024-06-16, 9:00 am, 2024-06-16, 2:00 pm, false, , 
Auswärts:  FC Ergolding - Herren 50, 2024-06-16, 10:00 am, 2024-06-16, 3:00 pm, false, , 
Auswärts:  FC Maitenbeth - Herren II (4er), 2024-06-16, 10:00 am, 2024-06-16, 3:00 pm, false, , 
Heimspiel:  Herren 30 - SV Erharting, 2024-06-16, 2:00 pm, 2024-06-16, 7:00 pm, false, , 
Heimspiel:  Herren 30 II (4er) - TC Malgersdorf II, 2024-06-16, 2:00 pm, 2024-06-16, 7:00 pm, false, , 
Heimspiel:  Herren 70 (4er) - GW Luitpoldpark München, 2024-06-17, 11:00 am, 2024-06-17, 4:00 pm, false, , 
Auswärts:  TeG Wasserburg-Reitmehring - Knaben 15 (4er), 2024-06-21, 3:00 pm, 2024-06-21, 8:00 pm, false, , 
Heimspiel:  Dunlop Kleinfeld U9 (4er) - SV Wörth, 2024-06-21, 3:00 pm, 2024-06-21, 8:00 pm, false, , 
Heimspiel:  Junioren 18 (4er) - TV Obing, 2024-06-22, 9:00 am, 2024-06-22, 2:00 pm, false, , 
Auswärts:  SV Oberbergkirchen - Junioren 18 II (4er), 2024-06-22, 9:00 am, 2024-06-22, 2:00 pm, false, , 
Heimspiel:  Juniorinnen 18 (4er) - TV Nandlstadt, 2024-06-22, 9:00 am, 2024-06-22, 2:00 pm, false, , 
Auswärts:  SV DJK Emmerting - Herren 30, 2024-06-22, 1:00 pm, 2024-06-22, 6:00 pm, false, , 
Heimspiel:  Damen 50 (4er) - SV Lohhof, 2024-06-22, 2:00 pm, 2024-06-22, 7:00 pm, false, , 
Auswärts:  TC Straßkirchen - Herren 50, 2024-06-22, 2:00 pm, 2024-06-22, 7:00 pm, false, , 
Auswärts:  TSG Postmünster - Herren 30 II (4er), 2024-06-22, 2:00 pm, 2024-06-22, 7:00 pm, false, , 
Heimspiel:  Herren 50 II (4er) - Inn, 2024-06-22, 2:00 pm, 2024-06-22, 7:00 pm, false, , 
Auswärts:  TS Jahn München - Herren, 2024-06-23, 9:00 am, 2024-06-23, 2:00 pm, false, , 
Heimspiel:  Herren II (4er) - TC Seeschneid, 2024-06-23, 10:00 am, 2024-06-23, 3:00 pm, false, , 
Heimspiel:  Damen (4er) - TSC Flossing, 2024-06-23, 10:00 am, 2024-06-23, 3:00 pm, false, , 
Auswärts:  TF Markt Schwaben - Dunlop Midcourt U10 (4er), 2024-06-23, 3:00 pm, 2024-06-23, 8:00 pm, false, , 
Heimspiel:  Herren 70 (4er) - TC Schrobenhausen, 2024-06-24, 11:00 am, 2024-06-24, 4:00 pm, false, , 
Heimspiel:  Knaben 15 (4er) - SV Wacker Burghausen III, 2024-06-28, 3:00 pm, 2024-06-28, 8:00 pm, false, , 
Auswärts:  TSV Obertaufkirchen - Bambini 12 (4er), 2024-06-29, 9:00 am, 2024-06-29, 2:00 pm, false, , 
Heimspiel:  Junioren 18 (4er) - TeG Wasserburg-Reitmehrin..., 2024-06-29, 9:00 am, 2024-06-29, 2:00 pm, false, , 
Heimspiel:  Junioren 18 II (4er) - TSV Buchbach, 2024-06-29, 9:00 am, 2024-06-29, 2:00 pm, false, , 
Auswärts:  VfR Haag - Juniorinnen 18 (4er), 2024-06-29, 9:00 am, 2024-06-29, 2:00 pm, false, , 
Auswärts:  OFV Aich - Herren 30 II (4er), 2024-06-29, 1:00 pm, 2024-06-29, 6:00 pm, false, , 
Auswärts:  TSV Marktl - Herren 50 II (4er), 2024-06-29, 1:00 pm, 2024-06-29, 6:00 pm, false, , 
Heimspiel:  Damen 40 - WB Fideliopark München, 2024-06-29, 2:00 pm, 2024-06-29, 7:00 pm, false, , 
Heimspiel:  Damen 50 (4er) - TC Kolbermoor, 2024-06-29, 2:00 pm, 2024-06-29, 7:00 pm, false, , 
Auswärts:  TC Großhesselohe IV - Herren, 2024-06-30, 9:00 am, 2024-06-30, 2:00 pm, false, , 
Heimspiel:  Herren II (4er) - TSV Soyen, 2024-06-30, 10:00 am, 2024-06-30, 3:00 pm, false, , 
Auswärts:  FC Lengdorf - Damen (4er), 2024-06-30, 10:00 am, 2024-06-30, 3:00 pm, false, , 
Auswärts:  SV Walpertskirchen - Dunlop Midcourt U10 (4er), 2024-06-30, 3:00 pm, 2024-06-30, 8:00 pm, false, , 
Auswärts:  TSV Haar - Herren 70 (4er), 2024-07-01, 11:00 am, 2024-07-01, 4:00 pm, false, , 
Auswärts:  SV Erharting - Knaben 15 (4er), 2024-07-05, 3:00 pm, 2024-07-05, 8:00 pm, false, , 
Auswärts:  TSV Neumarkt St.Veit II - Bambini 12 (4er), 2024-07-06, 9:00 am, 2024-07-06, 2:00 pm, false, , 
Auswärts:  Inn - Junioren 18 (4er), 2024-07-06, 9:00 am, 2024-07-06, 2:00 pm, false, , 
Auswärts:  TC Taufkirchen - Junioren 18 II (4er), 2024-07-06, 9:00 am, 2024-07-06, 2:00 pm, false, , 
Heimspiel:  Juniorinnen 18 (4er) - SV Marzling, 2024-07-06, 9:00 am, 2024-07-06, 2:00 pm, false, , 
Auswärts:  SpVgg Jettenbach - Herren 30 II (4er), 2024-07-06, 1:00 pm, 2024-07-06, 6:00 pm, false, , 
Auswärts:  TSV Neubiberg-Ottobrunn - Damen 40, 2024-07-06, 2:00 pm, 2024-07-06, 7:00 pm, false, , 
Auswärts:  TC Hengersberg - Herren 50, 2024-07-06, 2:00 pm, 2024-07-06, 7:00 pm, false, , 
Heimspiel:  Damen 50 (4er) - TC Grün-Weiß Dingolfing, 2024-07-06, 2:00 pm, 2024-07-06, 7:00 pm, false, , 
Heimspiel:  Herren 50 II (4er) - FC 64 Kirchberg, 2024-07-06, 2:00 pm, 2024-07-06, 7:00 pm, false, , 
Heimspiel:  Herren - TC Thalkirchen München, 2024-07-07, 9:00 am, 2024-07-07, 2:00 pm, false, , 
Heimspiel:  Damen (4er) - TSV Gangkofen II, 2024-07-07, 9:00 am, 2024-07-07, 2:00 pm, false, , 
Auswärts:  ASV Rott - Herren II (4er), 2024-07-07, 10:00 am, 2024-07-07, 3:00 pm, false, , 
Heimspiel:  Herren 30 - TC Winhöring, 2024-07-07, 2:00 pm, 2024-07-07, 7:00 pm, false, , 
Heimspiel:  Dunlop Midcourt U10 (4er) - TC Isen, 2024-07-07, 3:00 pm, 2024-07-07, 8:00 pm, false, , 
Heimspiel:  Bambini 12 (4er) - VfL Waldkraiburg II, 2024-07-13, 9:00 am, 2024-07-13, 2:00 pm, false, , 
Auswärts:  TSV Unterhaching II - Damen 50 (4er), 2024-07-13, 1:00 pm, 2024-07-13, 6:00 pm, false, , 
Heimspiel:  Herren 50 - TC Moos, 2024-07-13, 2:00 pm, 2024-07-13, 7:00 pm, false, , 
Auswärts:  TC Zorneding - Damen 40, 2024-07-14, 10:00 am, 2024-07-14, 3:00 pm, false, , 
