Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Heimspiel:  Knaben 15 (4er) - TSV Neumarkt St.Veit, 2024-05-03, 3:00 pm, 2024-05-03, 8:00 pm, false, , 
Auswärts:  TC Erding - Dunlop Kleinfeld U9 (4er), 2024-05-03, 3:00 pm, 2024-05-03, 8:00 pm, false, , 
Auswärts:  TC Schnaitsee - Junioren 18 (4er), 2024-05-04, 9:00 am, 2024-05-04, 2:00 pm, false, , 
Heimspiel:  Bambini 12 (4er) - TSV Buchbach, 2024-05-04, 9:00 am, 2024-05-04, 2:00 pm, false, , 
Auswärts:  TeG Kirchheim - Damen 50 (4er), 2024-05-04, 1:00 pm, 2024-05-04, 6:00 pm, false, , 
Heimspiel:  Herren 50 - TC Rot-Weiß Landshut II, 2024-05-04, 2:00 pm, 2024-05-04, 7:00 pm, false, , 
Heimspiel:  Herren 30 II (4er) - SV Oberbergkirchen, 2024-05-04, 2:00 pm, 2024-05-04, 7:00 pm, false, , 
Auswärts:  TC Tüßling - Herren 50 II (4er), 2024-05-04, 2:00 pm, 2024-05-04, 7:00 pm, false, , 
Heimspiel:  Herren - TeG Mühldorf, 2024-05-05, 9:00 am, 2024-05-05, 2:00 pm, false, , 
Auswärts:  TeG Wasserburg-Reitmehrin... - Herren II (4er), 2024-05-05, 10:00 am, 2024-05-05, 3:00 pm, false, , 
Auswärts:  TC Schwindegg - Damen (4er), 2024-05-05, 10:00 am, 2024-05-05, 3:00 pm, false, , 
Heimspiel:  Herren 30 - TeG Mühldorf III, 2024-05-05, 2:00 pm, 2024-05-05, 7:00 pm, false, , 
Heimspiel:  Dunlop Midcourt U10 (4er) - TC Finsing, 2024-05-05, 3:00 pm, 2024-05-05, 8:00 pm, false, , 
Heimspiel:  Herren 70 (4er) - TF Dachau, 2024-05-06, 11:00 am, 2024-05-06, 4:00 pm, false, , 
Heimspiel:  Knaben 15 (4er) - VfL Waldkraiburg, 2024-05-10, 3:00 pm, 2024-05-10, 8:00 pm, false, , 
Heimspiel:  Junioren 18 (4er) - TV Kraiburg, 2024-05-11, 9:00 am, 2024-05-11, 2:00 pm, false, , 
Auswärts:  SG Reichenkirchen - Junioren 18 II (4er), 2024-05-11, 9:00 am, 2024-05-11, 2:00 pm, false, , 
Heimspiel:  Juniorinnen 18 (4er) - SV Walpertskirchen, 2024-05-11, 9:00 am, 2024-05-11, 2:00 pm, false, , 
Auswärts:  TSV Grüntegernbach - Bambini 12 (4er), 2024-05-11, 9:00 am, 2024-05-11, 2:00 pm, false, , 
Auswärts:  TC Karlsfeld am See - Damen 50 (4er), 2024-05-11, 1:00 pm, 2024-05-11, 6:00 pm, false, , 
Auswärts:  TuS Töging - Herren 30, 2024-05-11, 1:00 pm, 2024-05-11, 6:00 pm, false, , 
Heimspiel:  Herren 50 - TC Pfarrkirchen II, 2024-05-11, 2:00 pm, 2024-05-11, 7:00 pm, false, , 
Heimspiel:  Herren 50 II (4er) - SV Gendorf Burgkirchen, 2024-05-11, 2:00 pm, 2024-05-11, 7:00 pm, false, , 
Heimspiel:  Herren II (4er) - FC Forstern II, 2024-05-12, 9:00 am, 2024-05-12, 2:00 pm, false, , 
Heimspiel:  Damen (4er) - OFV Aich, 2024-05-12, 9:00 am, 2024-05-12, 2:00 pm, false, , 
Auswärts:  TC Zorneding - Herren, 2024-05-12, 10:00 am, 2024-05-12, 3:00 pm, false, , 
Heimspiel:  Dunlop Midcourt U10 (4er) - SpVgg Altenerding, 2024-05-12, 3:00 pm, 2024-05-12, 8:00 pm, false, , 
Auswärts:  FC Ergolding - Herren 70 (4er), 2024-05-13, 11:00 am, 2024-05-13, 4:00 pm, false, , 
Heimspiel:  Herren 70 (4er) - TC RW Erlangen HP, 2024-06-03, 11:00 am, 2024-06-03, 4:00 pm, false, , 
Heimspiel:  Dunlop Kleinfeld U9 (4er) - SpVgg Altenerding, 2024-06-07, 3:00 pm, 2024-06-07, 8:00 pm, false, , 
Auswärts:  VfL Waldkraiburg - Junioren 18 (4er), 2024-06-08, 9:00 am, 2024-06-08, 2:00 pm, false, , 
Heimspiel:  Junioren 18 II (4er) - Vils, 2024-06-08, 9:00 am, 2024-06-08, 2:00 pm, false, , 
Auswärts:  TC Rot-Weiß Freising - Juniorinnen 18 (4er), 2024-06-08, 9:00 am, 2024-06-08, 2:00 pm, false, , 
Heimspiel:  Bambini 12 (4er) - SV Oberbergkirchen, 2024-06-08, 9:00 am, 2024-06-08, 2:00 pm, false, , 
Auswärts:  TSC Flossing - Herren 30, 2024-06-08, 1:00 pm, 2024-06-08, 6:00 pm, false, , 
Auswärts:  SpVgg Jettenbach - Herren 50 II (4er), 2024-06-08, 1:00 pm, 2024-06-08, 6:00 pm, false, , 
Heimspiel:  Herren 50 - TC Ismaning, 2024-06-08, 2:00 pm, 2024-06-08, 7:00 pm, false, , 
Heimspiel:  Herren 30 II (4er) - TC Schwindegg, 2024-06-08, 2:00 pm, 2024-06-08, 7:00 pm, false, , 
Auswärts:  TC Grün-Gold München - Damen 40, 2024-06-09, 10:00 am, 2024-06-09, 3:00 pm, false, , 
Heimspiel:  Herren - TSV 1860 Rosenheim III, 2024-06-09, 10:00 am, 2024-06-09, 3:00 pm, false, , 
Auswärts:  TSV St.Wolfgang - Herren II (4er), 2024-06-09, 10:00 am, 2024-06-09, 3:00 pm, false, , 
Auswärts:  TuS Mettenheim - Damen (4er), 2024-06-09, 10:00 am, 2024-06-09, 3:00 pm, false, , 
Auswärts:  TC Erding II - Dunlop Midcourt U10 (4er), 2024-06-09, 3:00 pm, 2024-06-09, 8:00 pm, false, , 
Auswärts:  TSV Haunstetten - Herren 70 (4er), 2024-06-10, 11:00 am, 2024-06-10, 4:00 pm, false, , 
Auswärts:  TC Isen - Dunlop Kleinfeld U9 (4er), 2024-06-14, 3:00 pm, 2024-06-14, 8:00 pm, false, , 
Auswärts:  TV Obing - Knaben 15 (4er), 2024-06-14, 3:00 pm, 2024-06-14, 8:00 pm, false, , 
